label id group Gene_ID_human
1 Body_Brain_Y 1 Phenotype NA
2 Body_L_Y 2 Phenotype NA
3 Body_T_Y 3 Phenotype NA
4 Body_W_Y 4 Phenotype NA
5 Brain_BW_Y 5 Phenotype NA
6 CholineChloride 6 Metabolome NA
7 Cord_L_Y 7 Phenotype NA
8 Cord_W_Y 8 Phenotype NA
9 D-Sorbitol 9 Metabolome NA
10 PARVB 10 Transcriptome 29780
11 NAB2 11 Transcriptome 4665
12 SYT1 12 Transcriptome 6857
13 TMEM231 13 Transcriptome 79583
14 MBD1 14 Transcriptome 4152
15 KCNIP3 15 Transcriptome 30818
16 ABCG2 16 Transcriptome 9429
17 CYP17A1 17 Transcriptome 1586
18 DAZAP1 18 Transcriptome 26528
19 IL31RA 19 Transcriptome 133396
20 GRAMD2B 20 Transcriptome 65983
21 INTS6L 21 Transcriptome 203522
22 FCGR2B 22 Transcriptome 2213
23 FUS 23 Transcriptome 2521
24 HSPH1 24 Transcriptome 10808
25 CHRNA4 25 Transcriptome 1137
26 ENSSSCG00000017783 26 Transcriptome 
27 PDE3B 27 Transcriptome 5140
28 BIRC5 28 Transcriptome 332
29 RSRP1 29 Transcriptome 57035
30 RBM3 30 Transcriptome 5935
31 FDFT1 31 Transcriptome 2222
32 GLA 32 Transcriptome 2717
33 GCNT2 33 Transcriptome 2651
34 TSGA10 34 Transcriptome 80705
35 TM4SF5 35 Transcriptome 9032
36 CENPA 36 Transcriptome 1058
37 NR5A2 37 Transcriptome 2494
38 ENSSSCG00000048968 38 Transcriptome 
39 PPA1 39 Transcriptome 5464
40 SYNPO2 40 Transcriptome 171024
41 Glycerophosphocholine 41 Metabolome NA
42 Head_Brain_Y 42 Phenotype NA
43 Head_BW_Y 43 Phenotype NA
44 Head_W_Y 44 Phenotype NA
45 Heart_Brain_Y 45 Phenotype NA
46 Heart_W_Y 46 Phenotype NA
47 Hypoxanthine 47 Metabolome NA
48 L_intest_W_Y 48 Phenotype NA
49 L_Kidney_W_Y 49 Phenotype NA
50 L-Alanine 50 Metabolome NA
51 L-Carnitine 51 Metabolome NA
52 L-GlutamicAcid 52 Metabolome NA
53 L-Isoleucine 53 Metabolome NA
54 L-Leucine 54 Metabolome NA
55 L-Phenylalanine 55 Metabolome NA
56 L-Serine 56 Metabolome NA
57 L-Valine 57 Metabolome NA
58 Liver_Brain_Y 58 Phenotype NA
59 Liver_W_Y 59 Phenotype NA
60 Lung_W_Y 60 Phenotype NA
61 Myo-Inositol 61 Metabolome NA
62 Plac_vascu_score_Y 62 Phenotype NA
63 Plac_W_Y 63 Phenotype NA
64 R_Kidney_W_Y 64 Phenotype NA
65 S_intest_W_Y 65 Phenotype NA
66 Spleen_Brain_Y 66 Phenotype NA
67 Spleen_W_Y 67 Phenotype NA
68 Stomach_Brain_Y 68 Phenotype NA
69 Stomach_W_Y 69 Phenotype NA
