from to value color id
1 4 42 0.832142489485757 orangered 1
2 4 43 0.727234171214892 palegreen 2
3 4 48 0.71987100021269 palegreen 3
4 4 25 0.763097384897204 orangered 4
5 4 18 0.598792528370191 palegreen 5
6 4 41 0.858028106058474 palegreen 6
7 4 22 0.734909105673626 orangered 7
8 4 34 0.758189086351643 palegreen 8
9 4 35 0.510169593104622 orangered 9
10 4 46 0.627321942714944 palegreen 10
11 4 45 0.662274115821974 palegreen 11
12 4 19 0.629666228416457 orangered 12
13 4 16 0.681693308595911 palegreen 13
14 4 17 0.782795082509923 orangered 14
15 4 11 0.536602459684721 orangered 15
16 4 40 0.527806571891622 palegreen 16
17 4 31 0.876959324418953 palegreen 17
18 4 27 0.790094662571185 orangered 18
19 4 15 0.708160438020685 orangered 19
20 4 37 0.577807840185744 palegreen 20
21 4 65 0.523357118511988 orangered 21
22 4 2 0.764449823967354 palegreen 22
23 4 50 0.791358836930436 palegreen 23
24 4 68 0.833247386171319 palegreen 24
25 4 3 0.820419508568375 orangered 25
26 5 42 0.52570165373995 orangered 26
27 5 25 0.500370655016648 orangered 27
28 5 41 0.534039650286752 palegreen 28
29 5 17 0.500986277370633 orangered 29
30 5 31 0.537300793878821 palegreen 30
31 5 27 0.507929512400812 orangered 31
32 5 3 0.520491522181315 orangered 32
33 6 42 0.7866011479548 orangered 33
34 6 43 0.721351533127005 palegreen 34
35 6 48 0.774730102000623 palegreen 35
36 6 25 0.707594251304117 orangered 36
37 6 18 0.658496187194294 palegreen 37
38 6 41 0.817092197755619 palegreen 38
39 6 22 0.711529480556116 orangered 39
40 6 34 0.728350573824218 palegreen 40
41 6 46 0.612385412256788 palegreen 41
42 6 45 0.605026733023354 palegreen 42
43 6 19 0.642924023247836 orangered 43
44 6 16 0.597192567518996 palegreen 44
45 6 17 0.735101047484776 orangered 45
46 6 11 0.508811238953474 orangered 46
47 6 40 0.590193632981851 palegreen 47
48 6 31 0.841522952744825 palegreen 48
49 6 27 0.740249182406622 orangered 49
50 6 15 0.662919290348257 orangered 50
51 6 37 0.529499978403942 palegreen 51
52 6 2 0.735987366085822 palegreen 52
53 6 50 0.768150644862112 palegreen 53
54 6 68 0.822218584050535 palegreen 54
55 6 54 0.528613870271681 palegreen 55
56 6 52 0.519307209218459 orangered 56
57 6 3 0.773869940359156 orangered 57
58 7 42 0.704840108388401 orangered 58
59 7 43 0.59670501147798 palegreen 59
60 7 48 0.556176669016047 palegreen 60
61 7 25 0.654166585448351 orangered 61
62 7 41 0.723343240317587 palegreen 62
63 7 22 0.612910961423905 orangered 63
64 7 34 0.635576165011685 palegreen 64
65 7 46 0.520330540842753 palegreen 65
66 7 45 0.572894581740324 palegreen 66
67 7 19 0.506219941930453 orangered 67
68 7 16 0.604227576831215 palegreen 68
69 7 17 0.665800196714481 orangered 69
70 7 31 0.735664034391237 palegreen 70
71 7 27 0.67297874363341 orangered 71
72 7 15 0.603510596229523 orangered 72
73 7 2 0.639902362917833 palegreen 73
74 7 50 0.658871756921158 palegreen 74
75 7 68 0.686127518572879 palegreen 75
76 7 3 0.695848137022883 orangered 76
77 8 42 0.6240715824173 orangered 77
78 8 43 0.571039358916931 palegreen 78
79 8 48 0.611138896015539 palegreen 79
80 8 25 0.56190162790177 orangered 80
81 8 18 0.518987970571389 palegreen 81
82 8 41 0.648037950454905 palegreen 82
83 8 22 0.563883501923953 orangered 83
84 8 34 0.577422300654151 palegreen 84
85 8 19 0.508302164199819 orangered 85
86 8 17 0.583393530554073 orangered 86
87 8 31 0.667177070769752 palegreen 87
88 8 27 0.587543268555518 orangered 88
89 8 15 0.52618699525159 orangered 89
90 8 2 0.58341707537463 palegreen 90
91 8 50 0.608683871151578 palegreen 91
92 8 68 0.651040549693011 palegreen 92
93 8 3 0.614032444940308 orangered 93
94 9 42 0.777119510883353 orangered 94
95 9 43 0.665721201519582 palegreen 95
96 9 48 0.634958760751296 palegreen 96
97 9 25 0.718079215944681 orangered 97
98 9 18 0.522591604773354 palegreen 98
99 9 41 0.798909566784301 palegreen 99
100 9 22 0.679648859134579 orangered 100
101 9 34 0.703442021397241 palegreen 101
102 9 35 0.508155419640249 orangered 102
103 9 46 0.578164107484734 palegreen 103
104 9 45 0.626797411125302 palegreen 104
105 9 19 0.569141387657104 orangered 105
106 9 16 0.655300560794727 palegreen 106
107 9 17 0.732956345860677 orangered 107
108 9 11 0.500497366388186 orangered 108
109 9 31 0.814001784112894 palegreen 109
110 9 27 0.740466804112856 orangered 110
111 9 15 0.66390263603452 orangered 111
112 9 37 0.546207314350687 palegreen 112
113 9 65 0.516143696367263 orangered 113
114 9 2 0.708608412726156 palegreen 114
115 9 50 0.731075172591204 palegreen 115
116 9 68 0.764465030765837 palegreen 116
117 9 3 0.766824779240699 orangered 117
118 49 42 0.771252597732532 orangered 118
119 49 43 0.700377147829366 palegreen 119
120 49 48 0.740440836907027 palegreen 120
121 49 25 0.696582233084407 orangered 121
122 49 18 0.62683736702786 palegreen 122
123 49 41 0.799923754254431 palegreen 123
124 49 22 0.694220320868453 orangered 124
125 49 34 0.711767822562332 palegreen 125
126 49 46 0.596491078499403 palegreen 126
127 49 45 0.597493222462134 palegreen 127
128 49 19 0.620672784005581 orangered 128
129 49 16 0.595139271214429 palegreen 129
130 49 17 0.721744602177886 orangered 130
131 49 40 0.560111960404235 palegreen 131
132 49 31 0.822548417024827 palegreen 132
133 49 27 0.727148644148516 orangered 133
134 49 15 0.651303191191778 orangered 134
135 49 37 0.522562102203024 palegreen 135
136 49 2 0.718906008074133 palegreen 136
137 49 50 0.749073394622529 palegreen 137
138 49 68 0.799142655446086 palegreen 138
139 49 3 0.759105388656201 orangered 139
140 51 42 0.801950285760924 orangered 140
141 51 43 0.709975996800465 palegreen 141
142 51 48 0.719118118733866 palegreen 142
143 51 25 0.731712524313221 orangered 143
144 51 18 0.601953163549884 palegreen 144
145 51 41 0.8285173512041 palegreen 145
146 51 22 0.71277678083742 orangered 146
147 51 34 0.733816785556282 palegreen 147
148 51 46 0.609780762787911 palegreen 148
149 51 45 0.632593029806623 palegreen 149
150 51 19 0.619662067842396 orangered 150
151 51 16 0.644259334990811 palegreen 151
152 51 17 0.753087205534979 orangered 152
153 51 11 0.517557274388072 orangered 153
154 51 40 0.533219410317153 palegreen 154
155 51 31 0.848520533667701 palegreen 155
156 51 27 0.759650459196018 orangered 156
157 51 15 0.680721374106336 orangered 157
158 51 37 0.55235313969526 palegreen 158
159 51 2 0.740312895588835 palegreen 159
160 51 50 0.76805591011826 palegreen 160
161 51 68 0.81231924962879 palegreen 161
162 51 3 0.790208655996784 orangered 162
163 58 39 0.562465298598487 palegreen 163
164 58 12 0.609572679024054 palegreen 164
165 58 30 0.633036196684304 palegreen 165
166 58 13 0.617062944528014 palegreen 166
167 58 24 0.633339215859154 orangered 167
168 58 20 0.62612893291773 palegreen 168
169 58 29 0.626571244376413 palegreen 169
170 58 23 0.654343801206636 palegreen 170
171 58 21 0.599491586800377 palegreen 171
172 58 14 0.64504356240478 orangered 172
173 58 44 0.506082516859221 orangered 173
174 58 33 0.643278334699201 palegreen 174
175 58 28 0.566161615025408 palegreen 175
176 58 47 0.530890253582117 palegreen 176
177 58 26 0.690599863264631 palegreen 177
178 58 38 0.56064567527981 orangered 178
179 58 36 0.55340907635611 orangered 179
180 58 10 0.594800743788181 palegreen 180
181 58 32 0.704859123048241 orangered 181
182 58 1 0.650262029637898 palegreen 182
183 58 57 0.575952545884395 palegreen 183
184 58 56 0.515698896778987 palegreen 184
185 59 42 0.547791689936566 orangered 185
186 59 25 0.523427336096083 orangered 186
187 59 41 0.555589890691248 palegreen 187
188 59 16 0.521179325235483 palegreen 188
189 59 17 0.522755174218708 orangered 189
190 59 31 0.558022004712534 palegreen 190
191 59 27 0.530249130805082 orangered 191
192 59 3 0.542606494124091 orangered 192
193 60 42 0.771819215957657 orangered 193
194 60 43 0.636534381678203 palegreen 194
195 60 48 0.562136046671514 palegreen 195
196 60 25 0.723166244464695 orangered 196
197 60 41 0.78908464376827 palegreen 197
198 60 22 0.662776168655992 orangered 198
199 60 34 0.690174650611618 palegreen 199
200 60 35 0.562913926894812 orangered 200
201 60 46 0.560126912613442 palegreen 201
202 60 45 0.63778408175456 palegreen 202
203 60 19 0.530584843974177 orangered 203
204 60 16 0.685124453090187 palegreen 204
205 60 17 0.731484007343212 orangered 205
206 60 31 0.799324772642962 palegreen 206
207 60 27 0.74021631482705 orangered 207
208 60 15 0.664086966189541 orangered 208
209 60 37 0.554606755200457 palegreen 209
210 60 65 0.562904540734049 orangered 210
211 60 2 0.694056902572538 palegreen 211
212 60 50 0.711482240022462 palegreen 212
213 60 68 0.734128258913501 palegreen 213
214 60 3 0.7627935407132 orangered 214
215 61 42 0.730147300085135 orangered 215
216 61 43 0.652544744627712 palegreen 216
217 61 48 0.671785623037094 palegreen 217
218 61 25 0.663712196583306 orangered 218
219 61 18 0.564788697916975 palegreen 219
220 61 41 0.755425269747272 palegreen 220
221 61 22 0.652004967210942 orangered 221
222 61 34 0.670223037330322 palegreen 222
223 61 46 0.558693044888617 palegreen 223
224 61 45 0.572153457123951 palegreen 224
225 61 19 0.572814132087295 orangered 225
226 61 16 0.578036461370155 palegreen 226
227 61 17 0.684781061338752 orangered 227
228 61 40 0.50199166045605 palegreen 228
229 61 31 0.774819966802088 palegreen 229
230 61 27 0.690439683842679 orangered 230
231 61 15 0.618599307967895 orangered 231
232 61 2 0.676448483863643 palegreen 232
233 61 50 0.702924642742545 palegreen 233
234 61 68 0.745843286950939 palegreen 234
235 61 3 0.719158458571363 orangered 235
236 62 39 0.539460972626547 palegreen 236
237 62 12 0.575445072840773 palegreen 237
238 62 30 0.594537943497296 palegreen 238
239 62 13 0.597200039636071 palegreen 239
240 62 24 0.611358012481618 orangered 240
241 62 20 0.590130498083433 palegreen 241
242 62 29 0.585935581556703 palegreen 242
243 62 23 0.618383190842176 palegreen 243
244 62 21 0.578906295773236 palegreen 244
245 62 14 0.60401950604789 orangered 245
246 62 33 0.590643727682125 palegreen 246
247 62 28 0.553271309080672 palegreen 247
248 62 26 0.644022430983988 palegreen 248
249 62 38 0.522720228441092 orangered 249
250 62 36 0.532169165860355 orangered 250
251 62 10 0.538703645002349 palegreen 251
252 62 32 0.653317575633921 orangered 252
253 62 1 0.632804951912336 palegreen 253
254 62 57 0.558420344711064 palegreen 254
255 63 42 0.72212272542299 orangered 255
256 63 43 0.583397039769729 palegreen 256
257 63 25 0.681525311076985 orangered 257
258 63 41 0.736118894960331 palegreen 258
259 63 22 0.614067373505697 orangered 259
260 63 34 0.641559287119988 palegreen 260
261 63 35 0.555375663321517 orangered 261
262 63 46 0.517112157509962 palegreen 262
263 63 45 0.604242615258904 palegreen 263
264 63 16 0.657918196388287 palegreen 264
265 63 17 0.686123485738299 orangered 265
266 63 31 0.743358140829953 palegreen 266
267 63 27 0.694921210042617 orangered 267
268 63 15 0.623650653712764 orangered 268
269 63 37 0.524874355036183 palegreen 269
270 63 65 0.551450557423052 orangered 270
271 63 2 0.644575803869398 palegreen 271
272 63 50 0.658469060749964 palegreen 272
273 63 68 0.674472044399489 palegreen 273
274 63 3 0.714269282147368 orangered 274
275 64 39 0.544132516208941 palegreen 275
